slug,aliases,name,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,durationSeconds,tags,benefits,useCases,instructions,commonMistakes,shortDescription,longDescription,posterFile,videoFile
abdominals-stretch-variation-four,,Abdominals Stretch Variation Four,Core,,Stability Ball,Mobility,beginner,9.6,abdominals stretch; stability ball stretch; core mobility; back extension; stretching; stability ball,Uses the stability ball to support a gradual stretch through the front of the core.; Encourages controlled spinal extension while the feet stay planted for balance.; Opens the chest and abdomen across the ball's curved surface.,Stability-ball mobility sessions in fitness apps; Supported cooldowns after core or pressing workouts; Guided recovery flows for gym and home-training programs; Equipment-specific stretching demonstrations for coaching platforms,1. Sit just in front of a large stability ball with your feet planted about hip-width apart. ; 2. Lean back and position the ball beneath your lower-to-mid back while keeping your knees bent. ; 3. Let your upper back follow the curve of the ball as you extend the torso and open the front of the abdomen. ; 4. Keep both feet grounded and breathe slowly while the ball supports the extended position. ; 5. Use your core to bring the torso back toward neutral without rolling abruptly off the ball. ; 6. Reset the ball under your back before repeating each controlled extension.,"Placing the ball too high or too low to support the lower-to-mid back.; Letting the feet slide or lifting the heels, which makes the supported position unstable.; Dropping over the ball abruptly instead of extending with control.; Holding the breath or forcing a deeper arch than feels comfortable.",A stability-ball abdominal stretch that supports the spine through a controlled supine back extension.,"This abdominal stretch uses a large stability ball to support the back while the torso extends over its curved surface. With the feet planted and the ball beneath the spine, the body can open through the front of the core without relying on the arms to hold the position.

For app and content use, this clip fits stability-ball mobility sessions, post-core cooldowns, and guided recovery flows. The supported setup also gives coaches a clear visual for teaching controlled spinal extension with dedicated equipment.",posters/abdominals-stretch-variation-four.webp,abdominals-stretch-variation-four.mp4
abdominals-stretch-variation-one,,Abdominals Stretch Variation One,Core,,Bodyweight,Mobility,beginner,8,abdominals stretch; cobra stretch; core mobility; spinal extension; stretching; bodyweight,Releases tension in the front of the core after heavy ab training.; Opens up the chest and improves overhead posture.; Resets the breath and prepares the body for the next exercise.,Warm-up sequences in mobility-focused fitness apps; Cooldown flows after core or strength workouts; Recovery and posture-reset modules in coaching platforms; Stretching demonstrations for trainer Reels and TikToks,"1. Lie face down with your legs extended, forearms on the floor, elbows beneath the shoulders, and palms planted. ; 2. Press through your hands and begin lifting your chest as your elbows move away from the floor. ; 3. Continue straightening your arms into a comfortable cobra-style position while keeping your hips and thighs grounded. ; 4. Draw your shoulders down away from your ears and breathe slowly into the stretch across the abdomen. ; 5. Bend your elbows to lower with control until your forearms return to the floor. ; 6. Repeat through the same smooth forearm-to-extended-arm path without forcing the height.","Forcing the back bend with your shoulders instead of letting the chest lead — this strains the lower back without stretching the abs.; Holding your breath through the stretch, which tightens the core and works against the lengthening you're after.; Rushing in and out of the position rather than easing in slowly — the stretch needs time under tension to release.; Dropping the head too far back, putting needless pressure on the neck instead of the abdominal wall.",A floor-based ab stretch that rises from forearm support into a cobra-style press-up to open the front of the core.,"This prone abdominal stretch moves from forearm support into a cobra-style press-up, using controlled spinal extension to open the front of the core. The gradual rise lets the rectus abdominis, obliques, and hip flexor complex lengthen as the arms extend.

For app and content use, this clip earns its place in recovery flows, mobility programs, and yoga-adjacent stretching content. The floor position and clear change from forearms to extended arms remain easy to read in guided cooldowns and exercise libraries.",posters/abdominals-stretch-variation-one.webp,abdominals-stretch-variation-one.mp4
abdominals-stretch-variation-three,,Abdominals Stretch Variation Three,Core,,Bodyweight,Mobility,beginner,8.8,abdominals stretch; obliques stretch; side bend; core mobility; one-arm overhead stretch; bodyweight,"Stretches the obliques, which most core training never reaches.; Improves rotational range of motion for sports and lifts.; Decompresses the side body after long sitting or repeated bending.","Rotational sport warm-ups in golf, tennis, or boxing apps; Oblique mobility blocks in core-focused programs; Cooldown flows after rotational or core training; Side-body opener clips for yoga and mobility content","1. Stand with your feet shoulder-width apart and reach one arm straight up overhead. ; 2. Bend your torso gently away from the raised arm as that arm reaches over the top of your head. ; 3. Keep both hips and your chest facing forward so the movement stays a side bend rather than a twist. ; 4. Hold the position for 15 to 30 seconds, breathing slowly and lengthening through the raised arm. ; 5. Return to upright with control and lower the arm before changing sides. ; 6. Repeat with the opposite arm overhead, increasing the lean gradually as the obliques warm up.","Letting the hips swing out as you lean — this kills the oblique stretch and shifts load to the lower back.; Twisting the torso forward or back instead of bending purely sideways, which dulls the side-body lengthening.; Forcing depth in the first few seconds rather than letting the breath ease you deeper over time.; Tensing the shoulder of the raised arm — the arm should reach long but stay relaxed at the trap.",A standing one-arm overhead side bend that lengthens the obliques and opens the side of the core.,"This standing abdominal stretch uses one arm overhead and a controlled lateral bend to lengthen the obliques alongside the front of the core. Keeping the torso facing forward makes the side-body stretch clear without turning it into a rotation.

For B2B use, this clip slots cleanly into rotational sport warm-ups, oblique-focused programs, and cooldown flows that address the side body. Its one-arm overhead shape also reads clearly in exercise pickers and coaching demonstrations.",posters/abdominals-stretch-variation-three.webp,abdominals-stretch-variation-three.mp4
abdominals-stretch-variation-two,,Abdominals Stretch Variation Two,Core,,Bodyweight,Mobility,beginner,8.53,abdominals stretch; standing back extension; overhead arm sweep; core mobility; stretching; bodyweight,Opens the front of the core as both arms travel overhead.; Encourages comfortable thoracic extension without requiring a floor position.; Mobilizes the shoulders and upper torso in one smooth standing sequence.,Standing warm-up sequences in fitness and mobility apps; Post-workout cooldowns after core or upper-body training; Desk-break mobility flows that need no floor space; Accessible torso-opening demonstrations for coaching platforms,"1. Stand tall with your feet hip-width apart and both arms relaxed at your sides. ; 2. Sweep both arms forward and upward together until they reach overhead. ; 3. As the arms rise, lift your chest and ease the torso into a mild backward extension without forcing the lower back. ; 4. Reach both hands upward and breathe steadily while keeping your feet planted and hips controlled. ; 5. Bring the torso back to neutral as both arms sweep down to your sides. ; 6. Repeat the bilateral overhead sweep smoothly, using only a comfortable range of extension.",Arching sharply through the lower back instead of lifting through the chest.; Letting one arm lead so the overhead sweep becomes uneven.; Bending the knees or shifting the hips forward to force more extension.; Shrugging both shoulders toward the ears at the top of the sweep.,A standing bilateral arm sweep to overhead that opens the front of the torso through mild spinal extension.,"This abdominal stretch pairs a smooth two-arm sweep with gentle spinal extension. Both arms travel overhead as the chest lifts and the torso eases back, lengthening the front of the core without forcing a deep standing back bend.

For app builders, the bilateral overhead motion is simple, calming, and visually clear. It fits warm-up sequences, post-workout recovery flows, and rest-day mobility content where users need an accessible standing opener.",posters/abdominals-stretch-variation-two.webp,abdominals-stretch-variation-two.mp4
arc-trainer,,Arc Trainer,Quadriceps,Glutes; Hamstrings; Calves,Machine,Cardio,beginner,5.6,arc trainer; cardio; low impact; quads; glutes; cross trainer,Loads quads and glutes hard while keeping joint impact lower than running.; Reaches oxygen uptake comparable to treadmill running in tested comparisons.; Covers steady aerobic work and short power intervals on the same machine.,Low-impact cardio blocks in a training app.; Gym equipment onboarding that shows members the arc stride path.; Machine comparison screens beside treadmill and elliptical clips.; Deload and return-to-training weeks in a periodized program.,"1. Step onto the footplates with your feet flat and rest your hands on the fixed console handlebar. ; 2. Set the incline for your target: low to bias calves, glutes and hamstrings, high to bias quads. ; 3. Dial resistance in separately from incline so effort and muscle emphasis stay independent. ; 4. Press one foot down and back along the arc while the opposite plate rises into position. ; 5. Keep your torso tall and let the legs set the rhythm instead of pulling on the bar. ; 6. Wind resistance down for the last minute, then step off once the plates have stopped.","Hanging your bodyweight on the fixed handlebar, which unloads the legs and flattens the training effect.; Leaving incline on the default, so the machine only ever loads one part of the lower body.; Chasing stride rate with a short, choppy range instead of completing the full arc.; Stepping off before the plates stop moving, which is how ankles get caught.","Standing arc-motion cardio where a long, low-impact stride and adjustable incline load the quads and glutes.","The Arc Trainer moves your feet along a fixed arc rather than an ellipse, so hip and knee extend together while the foot stays under the knee. The handlebar is fixed, so the legs produce all of the work and the hands only steady you. Incline is the muscle dial: low settings bias calves, glutes and hamstrings, high settings shift the work onto the quads. Resistance is set separately, so one machine covers steady aerobic work, intervals and power efforts. In a tested comparison the arc trainer reached oxygen uptake similar to treadmill running with less hip discomfort than an elliptical.

For a product catalog this clip fills the gap between treadmill and elliptical, where most libraries carry only one machine. Use it in low-impact cardio blocks, equipment onboarding, and machine-comparison screens.",posters/arc-trainer.webp,arc-trainer.mp4
arnold-press,,Arnold Press,Shoulders,Triceps; Trapezius; Core,Dumbbell,Push,intermediate,4,arnold press; dumbbell; shoulders; overhead press; deltoids; push,"Loads the front and side of the deltoid across a longer path than a straight overhead press.; The rotation adds time under tension without needing a heavier dumbbell.; Seated against an upright bench it removes leg drive, so the shoulders do the work.",Shoulder day slot in dumbbell-only hypertrophy programs.; Variation pickers that offer the Arnold press beside a standard dumbbell press.; Technique clips that walk through the palm rotation frame by frame.; Push-day substitution when a straight overhead press has gone stale.,1. Set an adjustable bench upright and sit with your back flat against the pad. ; 2. Bring two dumbbells to shoulder height with your palms turned toward your face and your elbows in front of you. ; 3. Brace your core and keep your ribs down before the first rep. ; 4. Press the dumbbells overhead while rotating your forearms so the palms finish facing forward. ; 5. Stop just short of locking the elbows and hold the top position briefly. ; 6. Reverse the rotation as you lower the dumbbells back to the start.,"Rushing the rotation, which turns the lift into a swing and takes tension off the deltoid.; Letting the ribs flare and the lower back arch, which moves load from the shoulders to the spine.; Locking the elbows hard at the top, which parks the load on the joint instead of the muscle.; Starting with the palms already facing forward, which removes the rotation the exercise exists for.",A seated dumbbell press that starts with the palms facing you and rotates them forward as the weight goes overhead.,"The Arnold press starts with the dumbbells at shoulder height and the palms turned toward your face, then rotates the forearms outward as you press so the palms finish facing forward. It is a compound dumbbell push aimed at the shoulders, with the triceps and traps assisting, and the front and side of the deltoid do the moving while the upper back and trunk stabilize. The rotation takes the arm from an internally rotated start into abduction and external rotation, loading the deltoid over a longer path than a straight press.

For an asset library this is the rotational entry in the overhead press family, and the palm turn is the detail a still image cannot carry. Use it in shoulder blocks, dumbbell equipment filters, and technique content that explains the rotation.",posters/arnold-press.webp,arnold-press.mp4
assault-bike,,Assault Bike,Quadriceps,Glutes; Calves; Shoulders; Core,Machine,Cardio,intermediate,6.4,assault bike; air bike; cardio; hiit; conditioning; full body,"Loads legs, arms and trunk in one low-impact cardio pattern.; Fan resistance rises with your own pace, so the workload never caps out at a dial setting.; Effort translates directly into measurable output for pacing and testing.",Interval and HIIT timer screens in a conditioning app.; Metabolic finishers appended to strength sessions.; Equipment library entries for functional and box-style gyms.; Benchmark test explainers where output is the tracked metric.,"1. Set the saddle so your knee stays slightly bent at the bottom of the pedal stroke. ; 2. Sit tall, take the arm bars at chest height and brace your trunk. ; 3. Start pedaling smoothly and let the fan build resistance before you add effort. ; 4. Push one arm bar away as you pull the other back, matched to the pedal rhythm. ; 5. Hold your target output rather than a fixed resistance, since the fan answers your pace. ; 6. Spin down against light effort for a minute, then release the bars and step off.","Dropping the arm bars and pedaling only, which halves the muscle involvement.; Rounding the back and hauling on the bars, moving load off the legs and into the spine.; Opening at full effort, so output collapses within seconds of the interval starting.; Sitting too low, which crowds the knee and shortens the drive through the pedals.",Seated fan-bike conditioning where pedals and moving arm bars work together and the fan answers every watt you add.,"The AssaultBike drives a 27 inch steel fan through a chain, so resistance is generated by your own output rather than set on a dial. Legs push the pedals while the arm bars are pushed and pulled, which turns a cycling pattern into a whole-body effort across quads, glutes, calves, shoulders and trunk. Because the fan answers every extra watt, the workload never settles at a fixed level, and the console programs are built around time, distance and heart-rate targets rather than resistance steps.

In a product catalog this is the machine that conditioning and CrossFit style apps ask for by name. Use it on interval timer screens, in metabolic finishers, and anywhere a library needs a bike that is clearly not a spin bike.",posters/assault-bike.webp,assault-bike.mp4
b-stance-hip-thrust,,B-Stance Hip Thrust,Glutes,Hamstrings; Core,Bodyweight,Hinge; Isolation,intermediate,5.07,b-stance hip thrust; kickstand hip thrust; glutes; hip extension; unilateral; bodyweight,Loads one glute at a time while staying stable enough for heavy sets.; Exposes and corrects left to right differences in hip extension strength.; Bridges the gap between bilateral hip thrusts and true single leg work.,Glute specialization blocks that step from bilateral toward single leg thrusting.; Side by side stance comparison media for hip thrust explainer videos.; Imbalance screening flows where one glute needs isolated loading.; Kickstand variant entry in a hip thrust family carousel.,"1. Sit on the floor with your upper back against the long edge of a bench. ; 2. Plant one foot flat with the shin vertical directly under the knee. ; 3. Slide the other foot forward until only its heel rests on the floor. ; 4. Brace your abdominals and draw your ribs down toward your hips. ; 5. Drive through the working heel until your torso is parallel with the floor. ; 6. Lower under control until the hips are just off the floor, then repeat.","Splitting the load evenly between both feet, which turns it back into a bilateral thrust.; Placing the kickstand foot flat, which lets that leg push and removes the unilateral demand.; Letting the pelvis tip toward the kickstand side, so the wrong glute does the work.; Finishing with an arched lower back instead of full hip extension, which loads the lumbar spine.",A hip thrust with one foot staggered forward as a kickstand so the rear working leg carries most of the load.,"The B-stance hip thrust sits between the bilateral hip thrust and the true single leg version. Your shoulders rest against a bench, the working foot is planted flat with a vertical shin, and the other foot slides forward so only its heel touches the floor. That kickstand leg contributes roughly 30 percent of the drive, which loads one glute far harder than a two legged thrust while leaving enough stability to handle real weight. The gluteus maximus drives hip extension while the hamstrings and abdominals support the position.

For a library this clip fills the gap in the unilateral glute progression between bridging and single leg work. It suits glute focused program blocks, imbalance correction flows, and coaching content that compares hip thrust stance variations side by side.",posters/b-stance-hip-thrust.webp,b-stance-hip-thrust.mp4
back-extension,,Back Extension,Lower Back,Glutes; Hamstrings,Bodyweight,Hinge,beginner,9.07,back extension; hyperextension; hip hinge; erector spinae; lower back; bodyweight,"Strengthens hip extension and spinal erector endurance with no external load required.; Teaches the hinge pattern in a supported position before a barbell is introduced.; Scales with tempo, pause length or a held plate without changing the setup.",Warm-up and accessory slots in strength app workout builders.; Low back and posterior chain modules in corrective exercise programs.; Gym equipment onboarding content that shows how the 45-degree bench is used.; Exercise library thumbnails and looping previews on catalog pages.,"1. Set the hip pad of a 45-degree back extension bench just below your pelvis. ; 2. Step onto the platform and lock both ankles under the roller pad with your legs straight. ; 3. Cross your arms over your chest, brace your abdominals, and align your head, spine and hips. ; 4. Hinge at the hips and lower your torso until you feel the hamstrings lengthen. ; 5. Squeeze the glutes and extend the hips until your body forms a straight line. ; 6. Hold the top position briefly, lower under control, and repeat for the prescribed reps.","Arching well past a straight line at the top, which loads the lumbar spine instead of the hips.; Setting the hip pad too high, which blocks hip flexion and pushes the movement into the lower back.; Swinging through reps with momentum, which removes tension from the glutes and hamstrings.; Throwing the head back or tucking the chin hard, which breaks the neutral line the exercise trains.","A supported hip hinge on a 45-degree bench that trains the spinal erectors, glutes and hamstrings with no added load.","The back extension is performed on a 45-degree bench with the hip pad set just below the pelvis and both ankles locked under the roller. From that position the torso lowers by folding at the hips, then returns until the body forms one straight line from head to heels. The spinal erectors hold the spine steady through the whole range while the glutes and hamstrings produce the hip extension. Because the load is bodyweight and the range is bounded by the bench, it is an easy way to train the posterior chain.

In a product catalog this clip covers a staple gym movement that almost every strength program touches. It works as a warm-up demo, as the entry rung on a hinge progression inside a workout builder, and as equipment onboarding content explaining what the 45-degree bench is actually for.",posters/back-extension.webp,back-extension.mp4
backstroke-swim,,Backstroke Swim,Back,Shoulders; Core; Triceps; Glutes,Bodyweight,Cardio,intermediate,5.04,backstroke; swimming; cardio; back; endurance; pool,"Trains the lats and shoulders through a full overhead pulling range.; Keeps breathing unrestricted, so effort can be held steady for long sets.; Adds a supine stroke that balances the forward-facing strokes in a swim plan.",Stroke selection screens in a swim or triathlon app.; Technique explainers focused on body roll and arm recovery.; Aerobic swim sets written into a distance or triathlon plan.; Muscle-highlight content showing which muscles a stroke loads.,"1. Float face up with your body flat, ears in the water and eyes looking up. ; 2. Hold a long body line with hips near the surface and a steady flutter kick. ; 3. Enter one arm overhead with the little finger first and the palm turned out. ; 4. Roll your shoulders and hips toward the entering arm so the back muscles can pull. ; 5. Bend the elbow underwater and press the water toward your hip to finish the stroke. ; 6. Recover that arm straight over the surface as the other arm starts its pull.","Swimming flat with no body roll, which loads the shoulder instead of the back.; Letting the hips sink, so the legs drag and stroke rate has to rise to compensate.; Lifting the head to look forward, which drops the hips and breaks the body line.; Crossing the entry arm past the midline, which forces the shoulder into an end-range position.",Supine alternating-arm swimming where body roll lets the large back muscles pull while a flutter kick holds position.,"Backstroke is swum face up with continuous alternating arms: one arm pulls underwater while the other recovers straight over the surface. Rolling the body toward the pulling arm is what lets the lats and the large trunk muscles drive the pull instead of the shoulder working alone, and a steady flutter kick keeps the hips near the surface so the body travels in one line. The pulling elbow bends underwater and the hand stays submerged, while the head stays still because lifting it drops the hips and adds drag.

For a catalog this clip covers the supine stroke that swim and triathlon apps need alongside freestyle. Use it in stroke-selection screens, technique explainers on body roll, and aerobic swim sets inside a training plan.",posters/backstroke-swim.webp,backstroke-swim.mp4
